,Team_home,Team_away,Game_id,Round,Minutes_home,Points_home,FieldGoalsMade2_home,FieldGoalsAttempted2_home,FieldGoalsMade3_home,FieldGoalsAttempted3_home,FreeThrowsMade_home,FreeThrowsAttempted_home,OffensiveRebounds_home,DefensiveRebounds_home,TotalRebounds_home,Assistances_home,Steals_home,Turnovers_home,BlocksFavour_home,BlocksAgainst_home,FoulsCommited_home,FoulsReceived_home,Valuation_home,Minutes_away,Points_away,FieldGoalsMade2_away,FieldGoalsAttempted2_away,FieldGoalsMade3_away,FieldGoalsAttempted3_away,FreeThrowsMade_away,FreeThrowsAttempted_away,OffensiveRebounds_away,DefensiveRebounds_away,TotalRebounds_away,Assistances_away,Steals_away,Turnovers_away,BlocksFavour_away,BlocksAgainst_away,FoulsCommited_away,FoulsReceived_away,Valuation_away
0,U-BT CLUJ-NAPOCA,RATIOPHARM ULM,82,9,200:00,81,27,31,5,29,12,14,12,19,31,18,8,19,3,0,22,22,92,200:00,84,21,35,10,23,12,16,10,18,28,14,9,20,0,3,22,21,80
0,UMANA REYER VENICE,PROMETEY SLOBOZHANSKE,83,9,200:00,71,22,45,6,20,9,10,9,29,38,8,4,13,3,2,27,21,65,200:00,75,26,44,2,19,17,33,15,28,43,16,10,12,2,3,21,27,86
0,7BET-LIETKABELIS PANEVEZYS,JOVENTUT BADALONA,84,9,200:00,76,24,38,7,24,7,13,8,19,27,19,7,10,2,3,20,22,83,200:00,90,19,33,12,22,16,19,8,26,34,21,4,13,3,2,22,20,108
0,GERMANI BRESCIA,FRUTTI EXTRA BURSASPOR,85,9,200:00,110,22,36,15,25,21,28,9,26,35,25,11,10,3,1,25,23,140,200:00,74,19,35,6,18,18,28,7,16,23,20,7,16,1,3,23,25,70
0,BUDUCNOST VOLI PODGORICA,TURK TELEKOM ANKARA,86,9,200:00,71,15,31,12,31,5,8,12,18,30,19,5,13,3,2,18,18,75,200:00,84,21,36,10,23,12,15,10,24,34,20,7,11,2,3,18,18,102
0,VEOLIA TOWERS HAMBURG,GRAN CANARIA,87,9,200:00,76,22,41,8,20,8,14,9,19,28,19,8,16,2,5,25,18,68,200:00,83,21,29,7,21,20,27,8,24,32,17,11,19,5,2,18,25,105
0,SLASK WROCLAW,DOLOMITI ENERGIA TRENTO,88,9,200:00,80,24,40,5,19,17,26,10,35,45,11,13,15,3,3,19,23,99,200:00,57,12,31,8,29,9,17,8,24,32,13,11,16,3,3,23,19,45
0,PROMITHEAS PATRAS,HAPOEL TEL AVIV,89,9,200:00,83,15,30,11,31,20,25,5,20,25,17,6,12,2,2,22,22,79,200:00,100,35,53,5,13,15,21,8,32,40,31,6,11,2,2,22,22,134
0,LONDON LIONS,PARIS BASKETBALL,90,9,200:00,80,31,57,3,22,9,18,12,36,48,16,4,11,3,3,15,21,89,200:00,93,18,40,15,44,12,15,13,38,51,20,7,10,3,3,21,15,101
0,FRUTTI EXTRA BURSASPOR,CEDEVITA OLIMPIJA LJUBLJANA,91,10,200:00,111,19,33,18,35,19,23,5,20,25,28,8,4,1,1,22,19,130,200:00,93,21,38,13,23,12,14,8,27,35,23,3,16,1,1,20,21,110
